participant_id,trial_number,y_length,response
Participant_01,1,445,X
Participant_01,2,370,X
Participant_01,3,370,X
Participant_01,4,385,X
Participant_01,5,370,Equal
Participant_01,6,415,Equal
Participant_01,7,445,Equal
Participant_01,8,430,Equal
Participant_01,9,445,X
Participant_01,10,385,Equal
Participant_01,11,400,Equal
Participant_01,12,430,Equal
Participant_01,13,400,Equal
Participant_01,14,370,Y
Participant_01,15,385,X
Participant_01,16,355,X
Participant_01,17,355,X
Participant_01,18,430,X
Participant_01,19,385,X
Participant_01,20,355,X
Participant_01,21,415,Equal
Participant_01,22,355,X
Participant_01,23,400,Equal
Participant_01,24,355,X
Participant_01,25,400,Equal
Participant_01,26,430,Y
Participant_01,27,355,X
Participant_01,28,445,Equal
Participant_01,29,400,Equal
Participant_01,30,430,Equal
Participant_01,31,370,X
Participant_01,32,445,Equal
Participant_01,33,415,Equal
Participant_01,34,430,Equal
Participant_01,35,355,X
Participant_01,36,445,Equal
Participant_01,37,430,X
Participant_01,38,370,X
Participant_01,39,385,Equal
Participant_01,40,370,X
Participant_01,41,355,X
Participant_01,42,415,Y
Participant_01,43,415,Equal
Participant_01,44,355,X
Participant_01,45,445,Y
Participant_01,46,415,Equal
Participant_01,47,415,Equal
Participant_01,48,385,Equal
Participant_01,49,385,Equal
Participant_01,50,415,Equal
Participant_01,51,430,Y
Participant_01,52,445,Equal
Participant_01,53,445,Y
Participant_01,54,430,Equal
Participant_01,55,385,X
Participant_01,56,415,Equal
Participant_01,57,415,Equal
Participant_01,58,400,Equal
Participant_01,59,400,Equal
Participant_01,60,445,Y
Participant_01,61,385,Equal
Participant_01,62,370,X
Participant_01,63,355,X
Participant_01,64,400,Equal
Participant_01,65,370,X
Participant_01,66,400,Equal
Participant_01,67,430,Equal
Participant_01,68,370,Equal
Participant_01,69,385,Equal
Participant_01,70,400,Equal
Participant_02,1,400,X
Participant_02,2,445,Y
Participant_02,3,385,X
Participant_02,4,415,X
Participant_02,5,385,X
Participant_02,6,400,Equal
Participant_02,7,355,X
Participant_02,8,355,X
Participant_02,9,415,Equal
Participant_02,10,385,X
Participant_02,11,430,Y
Participant_02,12,445,Y
Participant_02,13,370,X
Participant_02,14,370,X
Participant_02,15,355,X
Participant_02,16,385,Equal
Participant_02,17,355,X
Participant_02,18,445,Equal
Participant_02,19,445,Y
Participant_02,20,370,X
Participant_02,21,430,Y
Participant_02,22,370,X
Participant_02,23,385,X
Participant_02,24,385,X
Participant_02,25,400,Equal
Participant_02,26,400,X
Participant_02,27,430,Y
Participant_02,28,430,Y
Participant_02,29,400,Equal
Participant_02,30,370,X
Participant_02,31,355,X
Participant_02,32,370,X
Participant_02,33,430,Y
Participant_02,34,400,Y
Participant_02,35,415,Y
Participant_02,36,385,Y
Participant_02,37,415,Equal
Participant_02,38,415,Y
Participant_02,39,385,X
Participant_02,40,370,Equal
Participant_02,41,355,X
Participant_02,42,355,X
Participant_02,43,385,Equal
Participant_02,44,355,Equal
Participant_02,45,400,X
Participant_02,46,445,Y
Participant_02,47,415,Equal
Participant_02,48,415,Y
Participant_02,49,370,X
Participant_02,50,370,X
Participant_02,51,430,Y
Participant_02,52,430,Equal
Participant_02,53,400,X
Participant_02,54,385,X
Participant_02,55,445,Y
Participant_02,56,445,Y
Participant_02,57,355,X
Participant_02,58,430,Y
